catalog_id,sdss_name,plate,mjd,fiberID,ra_deg,dec_deg,redshift,redshift_err,mag_u,mag_g,mag_r,mag_i,mag_z,magErr_u,magErr_g,magErr_r,magErr_i,magErr_z,petroMag_r,petroR50_arcsec,petroR90_arcsec,extinction_r_mag,velocity_dispersion_kms,velDisp_err_kms,Halpha_flux_1e-17,Hbeta_flux_1e-17,OIII5007_flux_1e-17,NII6584_flux_1e-17,D4000,BPT_class,log_stellar_mass_Msun,sdss_explore_url,sdss_spectrum_fits_url,sdss_image_cutout_url
184,SDSS J155805.02+270531.2,1392,52822,261,239.520906,27.092013,0.090647,0.000030,19.7680,17.7523,16.7456,16.2685,15.8563,0.0634,0.0068,0.0047,0.0046,0.0090,16.7521,2.7967,7.8936,0.1190,177.1011,10.6631,28.0970,3.4052,4.0072,22.0813,2.0987,5,10.9239,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.52090581110463&dec=27.09201327765511,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=261,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.52090581110463&dec=27.09201327765511&scale=0.2&width=200&height=200
185,SDSS J155751.67+271605.8,1392,52822,262,239.465275,27.268278,0.091062,0.000033,19.6074,17.6276,16.6428,16.2161,15.8497,0.0733,0.0074,0.0051,0.0051,0.0110,16.8663,3.0289,8.1600,0.1177,122.1907,10.7512,11.6332,1.5610,-5.1347,4.5916,2.1281,-1,10.8685,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.46527538401926&dec=27.26827755595389,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=262,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.46527538401926&dec=27.26827755595389&scale=0.2&width=200&height=200
186,SDSS J155756.14+271325.0,1392,52822,263,239.483903,27.223598,0.088807,0.000039,20.6791,18.7036,17.7215,17.2598,16.8814,0.0833,0.0094,0.0064,0.0062,0.0126,17.8032,1.1718,3.1116,0.1165,170.1053,15.6938,2.0643,5.2870,-1.4359,-3.6733,2.1751,-1,10.4514,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.48390270975125&dec=27.22359759093177,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=263,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.48390270975125&dec=27.22359759093177&scale=0.2&width=200&height=200
187,SDSS J155812.61+271228.6,1392,52822,264,239.552545,27.207938,0.091785,0.000032,20.4748,18.5022,17.5109,17.0662,16.6938,0.0710,0.0083,0.0057,0.0056,0.0111,17.5970,1.1718,3.2162,0.1177,175.7990,12.2328,11.2933,0.4028,9.2224,7.1345,2.1424,-1,10.5432,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.55254502123455&dec=27.207938308019553,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=264,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.55254502123455&dec=27.207938308019553&scale=0.2&width=200&height=200
188,SDSS J155800.37+271539.1,1392,52822,266,239.501534,27.260860,0.088670,0.000034,20.6520,18.5869,17.6008,17.1349,16.7638,0.0927,0.0094,0.0063,0.0062,0.0129,17.7226,1.4010,3.7243,0.1190,123.5723,11.6781,5.3230,2.9823,-5.9872,-0.5770,2.1866,-1,10.5000,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.50153358772764&dec=27.260859572138514,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=266,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.50153358772764&dec=27.260859572138514&scale=0.2&width=200&height=200
189,SDSS J155808.93+271022.8,1392,52822,267,239.537214,27.173012,0.087530,0.000034,20.3971,18.2998,17.3117,16.8781,16.5046,0.0754,0.0079,0.0055,0.0054,0.0109,17.3107,1.5829,5.1032,0.1153,190.7376,15.1734,2.8361,0.4699,-8.1137,2.2799,2.1052,-1,10.6018,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.5372140606712&dec=27.17301193796977,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=267,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.5372140606712&dec=27.17301193796977&scale=0.2&width=200&height=200
190,SDSS J155801.36+270804.7,1392,52822,268,239.505670,27.134645,0.090137,0.000035,21.0396,18.7334,17.7454,17.2948,16.9432,0.1075,0.0094,0.0063,0.0062,0.0126,17.8055,1.1236,3.0188,0.1132,132.8600,12.3578,7.9758,8.5382,0.6143,-1.6035,2.2566,-1,10.4839,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.50567049105558&dec=27.13464524247685,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=268,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.50567049105558&dec=27.13464524247685&scale=0.2&width=200&height=200
191,SDSS J155756.26+270726.6,1392,52822,269,239.484400,27.124059,0.066995,0.000020,20.2916,18.4303,17.5332,17.0553,16.6832,0.0693,0.0084,0.0061,0.0059,0.0119,17.6355,1.4146,3.8455,0.1126,109.9595,11.5719,73.7604,18.5152,24.2446,40.6382,1.9699,3,10.2635,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.48439974645612&dec=27.124058635047998,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=269,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.48439974645612&dec=27.124058635047998&scale=0.2&width=200&height=200
192,SDSS J155812.17+270335.5,1392,52822,270,239.550727,27.059854,0.068205,0.000008,19.4111,18.0880,17.4556,17.0487,16.8179,0.0368,0.0069,0.0058,0.0059,0.0142,17.4070,1.8843,4.6152,0.1289,101.9776,14.5334,250.7335,55.9738,14.7201,85.2660,1.5005,1,10.0131,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.55072709673743&dec=27.059853593986734,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=270,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.55072709673743&dec=27.059853593986734&scale=0.2&width=200&height=200
193,SDSS J155812.76+271659.3,1392,52822,271,239.553179,27.283147,0.086052,0.000039,20.6819,18.6106,17.6070,17.1752,16.8200,0.0800,0.0087,0.0061,0.0060,0.0119,17.6683,1.1082,3.0504,0.1211,222.3486,15.6450,6.7166,6.2854,-0.0823,0.1415,2.2272,-1,10.4671,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.5531787589812&dec=27.283146975820546,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=271,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.5531787589812&dec=27.283146975820546&scale=0.2&width=200&height=200
